NO,instructions(en),instruction(jp),explanation(en),explanation(jp),response(en),response(jp),type
1,What is the supreme law of US?,米国の最高法は何ですか?,The Constitution is the highest law in the United States. It is the oldest written Constitution in the world.,憲法は米国の最高法規です。それは世界最古の成文憲法です。,Constitution,憲法,open_qa
2,"Choose item from the list below, which is not related to role of the U.S. Constitution : Establishing a Government, Defining a Government, Protecting the Fundamental Rights of Americans, Caring for the Japanese",以下のリストのうち、米国憲法の役割に該当しないものを選べ：政府を設立する、政府を定義する、アメリカ人の基本的権利を保護する、日本人を大切にする,"The U.S. Constitution serves several key purposes, including establishing a government, defining a government, and protecting the fundamental rights of Americans. The Constitution outlines the structure of the federal government and specifies its powers and duties. It also sets forth the basic rights of citizens and provides a framework for the protection of those rights.",米国憲法は、政府の樹立、政府の定義、アメリカ人の基本的権利の保護など、いくつかの重要な目的を果たしています。憲法は連邦政府の構造を概説し、その権限と義務を規定しています。また、国民の基本的権利を規定し、それらの権利を保護するための枠組みを提供します。,cherish the Japanese,日本人を大切にする,classification
3,The idea of self-government is found in the first words of the Constitution. what are these words in the U.S.?,米国における自治の理念は憲法の最初の言葉にあります。これらの言葉は何ですか?,The first three words encompass all U.S. citizens and serve to emphasize that the U.S. government is ruled by the people.,最初の 3 つの単語はすべてのアメリカ国民を網羅しており、アメリカ政府が国民によって統治されていることを強調するのに役立ちます。,We the People,私たち国民は,open_qa
4,"Choose item from the list below, which is not the definition of amendment (of the Constitution) in the U.S. :(constitutional )change,Addition(to the constitution ), dissemination activities to the public",以下のリストのうち、米国における（憲法の）修正の定義として該当しないものを選べ：(憲法の) 変更、(憲法への) 追加、国民への普及活動," An amendment is essentially a correction. It comes in many varieties, up to and including the process of altering something through either parliamentary or constitutional procedure. In the United States, the word is often used specifically of a change to the U.S. Constitution. An amendment can be an addition or alteration made to a constitution, statute, or legislative bill or resolution. The U.S. Constitution is a living document, meaning it can be added to or altered. The Constitution has been amended 27 times.",修正は本質的に修正です。それには、議会または憲法の手続きを通じて何かを変更するプロセスに至るまで、さまざまな種類があります。米国では、この言葉は特に合衆国憲法の変更を指すことがよくあります。修正とは、憲法、法令、立法法案や決議に対する追加または変更のことです。米国憲法は生きた文書であり、追加または変更できることを意味します。憲法は27回も改正されています。,Popularization activities for citizens,国民への普及活動,classification
5,What do we call the first ten amendments to the US Constitution?,米国憲法の最初の 10 項目の修正を何と呼びますか?,"The first 10 amendments to the Constitution were adopted on December 15, 1791. Known as the Bill of Rights, it details the rights of the people in relation to the U.S. government.",最初の 10 の憲法修正案は 1791 年 12 月 15 日に採択されました。権利章典として知られるこの章には、米国政府に対する国民の権利が詳しく規定されています。,bill of rights,権利章典,open_qa
6,"Choose item from the list below, which is unrelated to amendment of US Constitution 1st Article as rights to freedoms : speech, religion, assembly, karaoke microphone selection, publishing, government petitions",以下のリストのうち、米国憲法修正第 1 条における権利または自由で関係のないモノを選べ： 言論、宗教、集会、カラオケのマイク選び、出版、政府への請願,"The 1st Amendment of the United States Constitution protects the rights to freedoms of speech, religion, assembly, publishing, and government petitions. These rights are fundamental to a free and democratic society and are protected by law. Karaoke microphone selection, on the other hand, is not a fundamental right protected by the Constitution.The First Amendment protects the right to freedom of expression as well as the right to peaceful protest and to petition the government.",アメリカ合衆国憲法修正第 1 条は、言論、宗教、集会、出版、政府請願の自由の権利を保護しています。これらの権利は自由で民主的な社会の基礎であり、法律によって保護されています。一方、カラオケのマイクの選択は、憲法で保護される基本的権利ではありません。憲法修正第 1 条は、表現の自由の権利、平和的な抗議活動や政府への請願の権利を保護しています。,Choosing a karaoke microphone,カラオケのマイク選び,classification
7,How many amendments does the Constitution have?,米国憲法には何件の修正条項がありますか?,"There have been 27 amendments to the United States Constitution since it was put into operation on March 4, 17891. The first ten amendments were adopted and ratified simultaneously and are known collectively as the Bill of Rights1. The 13th, 14th, and 15th amendments are collectively known as the Reconstruction Amendments1. ", 1789 年 3 月 4 日に施行されて以来、合衆国憲法には 27 の修正が行われています1。最初の 10 の修正は同時に採択および批准され、総称して権利章典として知られています1。修正第 13 条、第 14 条、および修正第 15 条は、総称して「レコンストラクション修正条項」と呼ばれます1。,27 matters,27件,open_qa
8,"Choose item from the list below, which is unrelated to the US's Declaration of Independence brought : announced independence from the UK, released a solo album, declared independence from the UK, said the US was free from the UK.",以下のリストのうち、米国の独立宣言がもたらしたものと関係のないモノを選べ：イギリスからの独立を発表、ソロでアルバムをリリースする、イギリスからの独立を宣言、米国は英国から自由であると述べた," The Declaration of Independence was a document adopted by the Continental Congress on July 4, 1776, which announced that the thirteen American colonies, then at war with Great Britain, were no longer a part of the British Empire and were now united, free, and independent states. It did not release a solo album. Adopted on July 4, 1776, the Declaration of Independence announced the separation of the United States from Great Britain.",独立宣言は、1776 年 7 月 4 日に大陸会議で採択された文書で、当時イギリスと戦争状態にあったアメリカの 13 植民地がもはや大英帝国の一部ではなく、現在は統一され、自由で、独立国家。ソロアルバムはリリースしませんでした。 1776 年 7 月 4 日に採択された独立宣言は、米国が英国から分離することを宣言しました。,release a solo album,ソロでアルバムをリリースする,classification
9,"Choose item from the list below, which is unrelated to rights in Declaration of Independence in the U.S.: life, making money, liberty, and the pursuit of happiness?",以下のリストのうち、米国の独立宣言に含まれる権利と関係のないモノは何ですか：人生、お金儲け、自由、幸福の追求,"The Declaration of Independence proclaims that all people are created equal and that everyone has three fundamental rights, namely to life, liberty, and the pursuit of happiness.",独立宣言は、すべての人が平等に生まれ、すべての人が生命、自由、幸福の追求という 3 つの基本的な権利を有することを宣言しています。,making money,お金儲け,classification
10,What is freedom of religion in the U.S.?,米国における信教の自由とは何ですか?,"The First Amendment states that everyone in the U.S. has the right to choose what religion to follow, including the right to change your religion at any time.",憲法修正第 1 条では、米国のすべての人が、いつでも宗教を変更する権利を含め、どの宗教に従うかを選択する権利があると規定されています。,It doesn't matter what religion you believe in or not.,どの宗教を信仰しても、信仰しなくても構いません。,open_qa
